Día,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2014-04-04,14.90,17.59,19.10,84.11,0.00,220.56,497.00,2.05,8.40,ESE,3.57
2014-04-05,14.80,17.98,22.80,82.17,0.00,266.91,1097.00,2.26,11.60,,0.00
2014-04-06,12.20,15.20,19.20,88.41,0.00,92.74,853.00,0.67,7.90,WNW,1.63
2014-04-07,13.60,14.24,14.60,88.91,0.00,37.17,105.00,0.00,0.50,,0.00
2014-04-08,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-09,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-10,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-11,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-12,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-13,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-14,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-15,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-16,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-17,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-18,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-19,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-20,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-21,,,,87.00,0.00,51.00,51.00,0.00,0.00,,0.00
2014-04-22,19.30,19.60,19.90,79.70,0.00,429.73,1081.00,4.63,10.90,SE,3.75
2014-05-01,,,,,0.00,,,,,,0.00
2014-05-02,,,,,0.00,,,,,,0.00
2014-05-03,,,,,0.00,,,,,,0.00
2014-05-04,,,,,0.00,,,,,,0.00
2014-05-05,,,,,0.00,,,,,,0.00
2014-05-06,14.50,17.39,18.50,88.04,0.20,69.38,204.00,0.69,1.90,ESE,2.46
2014-05-07,13.60,16.64,20.70,90.30,0.00,223.14,1141.00,2.39,11.90,ESE,2.93
2014-05-08,14.80,16.01,18.40,95.93,0.00,99.79,687.00,1.39,9.40,SSE,1.52
2014-05-09,13.30,15.76,19.10,92.67,0.00,191.10,508.00,1.83,6.80,,0.00
2014-05-10,14.10,16.60,20.20,88.93,0.00,316.77,1234.00,3.31,13.10,,0.00
2014-05-11,13.80,16.40,19.30,89.80,0.00,202.56,1301.00,2.71,15.10,,0.00
2014-05-12,13.50,15.22,17.50,93.00,0.00,76.15,471.00,1.33,6.00,ESE,1.92
2014-05-13,13.60,14.71,18.20,92.18,0.00,42.50,403.00,0.49,4.30,ENE,2.10
2014-05-14,12.80,16.35,20.80,84.14,0.00,177.27,1162.00,1.75,10.90,ESE,4.33
2014-05-15,13.80,15.99,19.20,76.91,0.00,238.26,1169.00,2.22,13.40,ENE,8.24
2014-05-16,13.90,15.84,19.50,75.57,0.00,312.43,1139.00,2.90,12.60,ESE,12.31
2014-05-17,12.70,16.70,21.40,74.09,0.00,167.78,1206.00,1.89,12.40,ENE,4.64
2014-05-18,12.30,16.53,21.70,82.96,0.00,190.26,1239.00,1.99,13.40,ESE,4.68
2014-05-19,13.40,16.90,21.20,81.70,0.00,187.65,1220.00,1.95,13.00,ENE,2.83
2014-05-20,12.90,16.72,20.20,84.22,0.20,154.00,1183.00,1.47,11.50,,0.00
2014-05-21,14.30,16.07,20.70,87.78,0.00,136.39,1100.00,1.33,12.00,SE,4.50
2014-05-22,14.30,15.84,19.70,87.57,0.00,126.61,1216.00,1.48,11.50,ENE,2.98
2014-05-23,13.70,16.58,20.60,85.60,0.00,169.50,1107.00,2.03,13.10,ESE,4.12
2014-05-24,14.10,16.82,21.80,86.52,0.00,181.41,1058.00,2.25,11.90,SE,4.50
2014-05-25,12.90,15.40,20.60,90.14,0.00,113.26,1121.00,1.12,11.30,ESE,2.55
2014-05-26,12.70,16.25,20.70,90.19,0.00,198.50,1208.00,1.57,12.20,NNW,1.70
2014-05-27,13.10,16.46,20.30,89.17,0.00,198.78,1255.00,1.93,12.90,NNW,2.76
2014-05-28,10.70,15.78,19.90,89.30,0.00,203.39,1027.00,1.97,11.70,ESE,2.34
2014-05-29,13.30,15.39,18.60,93.96,0.00,143.13,1243.00,1.66,12.60,ESE,2.20
2014-05-30,13.10,15.87,19.70,91.30,0.00,196.04,1167.00,2.10,12.10,ESE,2.80
2014-05-31,13.30,16.34,20.80,89.70,0.00,228.65,1183.00,2.12,12.80,ENE,2.06
