dia,flujo
32014,0
42014,157.62
52014,106.55
62014,391.83
72014,0
82014,73.86
92014,88.62
102014,139.32
112014,115.33
122014,79.41
12015,44.26
22015,43.7
32015,48.69
42015,33.97
52015,23.44
62015,11.48
72015,22.1
82015,44.55
92015,28.12
102015,267.63
112015,125.26
122015,97.31
22016,167.42
32016,843.3
42016,325.47
52016,483.59
62016,71.15
72016,45.53
82016,52.18
92016,115.41
102016,71.74
112016,53.54
122016,48.94
22017,31.36
32017,51.09
42017,61.12
52017,55.6
62017,987.5
72017,230.32
82017,75.73
92017,163.45
102017,131.38
112017,99.3
122017,53.93
22018,57.1
32018,42.69
42018,66.82
52018,65.53
62018,228.54
72018,93.33
82018,61.19
92018,103.08
102018,104.6
112018,76.78
122018,95.74
